"CODIGO
ALMACEN","NOMBRE
 CONTENEDOR",CIUDAD,PROYECTO/OBRA,"UNIDAD
 DE NEGOCIO",FAMILIA,SUBFAMILIA,IMPORTANCIA,"CODIGO
 ARTICULO","NOMBRE
 ARTICULO","NOMBRE ARTICULO
 PROVEEDOR",PROVEEDOR,"CODIGO ARTICULO
 PROVEEDOR",PRECIO PROVEEDOR,"COSTE
SOLUCIONES",PRECIO VENTA SOLUCIONES,IMPUTACIÓN TRANSPORTE,% IMPUTACIÓN TRANSPORTE,PRECIO VENTA + ENVÍO SOLUCIONES,TIPO DE CAMBIO EURO-DÓLAR,COSTE COMPRA DE SAEMA,COSTE DE SAEMA,"PRECIO 
UNITARIO","PRECIO 
COMPETENCIA",UNIDAD METRICA,"UD 
STOCK",CANTIDAD PENDIENTE DE SERVIR,"Calificación valor A, B o C","FACTOR
 MODIFICADOR
 VALOR","VALOR STOCK
DDP",ORIGEN DATOS,COSTE CONTENEDOR,COSTE FLETE,COSTE SEGURO,VOLUMEN (m3),UNIDAD MEDIDA VOLUMEN,% VOLUMEN UNITARIO,VOLUMEN BULTO(m3),UNIDADES POR BULTO,VOLUMEN TOTAL CARGA ENVIO (m3),COSTE ENVIO DE CADA m3
1,FSCU - 613147 - 6,LAD,SAEMA-STOCKS,AGUA,SOLAR TERMICA,CAPTADORES,A,0000000531,Captador solar plano QRD CR10ALDP8 1900x1090mm,,,,,,231 €,"33,98 €","14,71%","264,98 €","1,40",371 USD,445 USD,"556,46 USD",,UNIDAD,88,,,1,39.174 USD,FRA. 9.076.09,3.360 €,12.934 €,782 €,"0,233",m3,"0,199%","20,540",88,"117,30","145,58 €"
1,FSCU - 613147 - 6,LAD,SAEMA-STOCKS,AGUA,SOLAR TERMICA,ESTRUCTURAS,A,0000000581,Estructura EQ P. Alto Termosifón 150l 30º,,,,,,"148,61 €","2,55 €","1,71%","151,16 €","1,40",212 USD,254 USD,"317,43 USD",,UNIDAD,88,,,1,22.347 USD,FRA. 9.076.09,3.360 €,12.934 €,782 €,"0,018",m3,"0,015%","1,540",88,"117,30","145,58 €"
1,FSCU - 613147 - 6,LAD,SAEMA-STOCKS,AGUA,SOLAR TERMICA,ACCESORIOS,A,0000000583,Kit sistema indirecto perfil alto 150/200l,,,,,,"58,75 €","4,42 €","7,52%","63,17 €","1,40",88 USD,106 USD,"132,65 USD",,UNIDAD,88,,,1,9.339 USD,FRA. 9.076.09,3.360 €,12.934 €,782 €,"0,030",m3,"0,026%","2,670",88,"117,30","145,58 €"
3,FSCU - 614236 - 2,LAD,SAEMA-STOCKS,AGUA,SOLAR TERMICA,ACCESORIOS,A,0000000592,Kit sistema forzado 150/200l,,,,,,"71,42 €","4,30 €","6,02%","75,72 €","1,40",106 USD,127 USD,"159,02 USD",,UNIDAD,18,,,1,2.290 USD,FRA. 9.076.09,3.360 €,12.934 €,782 €,"0,030",m3,"0,025%","0,532",18,"117,30","145,58 €"
4,NOWU - 607047 - 4,LAD,SAEMA-STOCKS,OTROS,HERRAMIENTA,HERRAMIENTA,C,0000000002,Central hidraúlica gatos contenedores,,,,,,,,,"0,00 €","1,40",0 USD,0 USD,"0,00 USD",,,1,,,1,0 USD,,,,,,,,,,,
12,NOWU - 981008 - 6    (Cor: Cinza ) de 40P,LAD,SAEMA-STOCKS,AGUA,ETAPS,FILTROS,C,0000000004,Filtros Lama F17 C 5m³/h,,,,,,7.390 €,,,"8.123,61 €","1,40",11.373 USD,13.648 USD,"17.059,58 USD",,UNIDAD,4,,,1,54.591 USD,FRA. 12.013.12,,,,,m3,,,,,
12,NOWU - 981008 - 6    (Cor: Cinza ) de 40P,LAD,SAEMA-STOCKS,AGUA,ETAPS,ACCESORIOS,C,0000000058,Tanque sulfato 250l,,,,,,178 €,,,"196,02 €","1,40",274 USD,329 USD,"411,64 USD",,UNIDAD,4,,,1,1.317 USD,FRA. 11.059.11,,,,,m3,,,,,
13,GSTU - 871854 - 0    (Cor: Laranja ) de 40P,LAD,SAEMA-STOCKS,OTROS,MAT. CONS,MATERIAL CONSTRUCCION,C,0000000421,Lamina Geotextil Poliester(Rollo),,,,,,,,,"0,00 €","1,40",0 USD,0 USD,"0,00 USD",,,37,,,1,0 USD,,,,,,m3,,,,,
18,NOWU - 550709 - 2    (Cor: Verde) de 40P,LAD,SAEMA-STOCKS,ENERGIA,FV,PANELES,A,0000000523,Panel fotovoltaico 24V 240Wp,,,,,,"182,44 €","23,53 €","12,90%",206 €,"1,40",288 USD,346 USD,433 USD,,UNIDAD,65,,,1,22.492 USD,FRA.13.079.13,2.312 €,5.562 €,391 €,"0,086",m3,"0,285%","3,450",40,"30,30","272,77 €"
18,NOWU - 550709 - 2    (Cor: Verde) de 40P,LAD,SAEMA-STOCKS,ENERGIA,BT,INST TIERRA,A,0000000402,Pica de tierra Cu 2m,,,,,,7 €,,,"8,11 €","1,40",11 USD,14 USD,"17,04 USD",,,183,,,1,2.494 USD,FRA.13.047.13,,,,,m3,,,,,
