"CODIGO
ALMACEN","NOMBRE
 CONTENEDOR",CIUDAD,PROYECTO/OBRA,"UNIDAD
 DE NEGOCIO",FAMILIA,SUBFAMILIA,IMPORTANCIA,"CODIGO
 ARTICULO","NOMBRE
 ARTICULO","NOMBRE ARTICULO
 PROVEEDOR",PROVEEDOR,"CODIGO ARTICULO
 PROVEEDOR",PRECIO PROVEEDOR,"COSTE
SOLUCIONES",PRECIO VENTA SOLUCIONES,IMPUTACIÓN TRANSPORTE,% IMPUTACIÓN TRANSPORTE,PRECIO VENTA + ENVÍO SOLUCIONES,TIPO DE CAMBIO EURO-DÓLAR,COSTE COMPRA DE SAEMA,COSTE DE SAEMA,"PRECIO 
UNITARIO","PRECIO 
COMPETENCIA",UNIDAD METRICA,"UD 
STOCK",CANTIDAD PENDIENTE DE SERVIR,"Calificación valor A, B o C","FACTOR
 MODIFICADOR
 VALOR","VALOR STOCK
DDP",ORIGEN DATOS,COSTE CONTENEDOR,COSTE FLETE,COSTE SEGURO,VOLUMEN (m3),UNIDAD MEDIDA VOLUMEN,% VOLUMEN UNITARIO,VOLUMEN BULTO(m3),UNIDADES POR BULTO,VOLUMEN TOTAL CARGA ENVIO (m3),COSTE ENVIO DE CADA m3
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,LATON,C,0000000118,"Filtro Y laton 1-1/4""",,,,"23,71 €","11,86 €","14,82 €",,,"16,98 €","1,40","23,77 USD","28,53 USD","35,66 USD",,UNIDAD,3,,,1,"85,58 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,LATON,C,0000000119,"Codo 90º laton 1-1/2"" M-H",,,,"25,34 €","12,67 €","15,84 €",,,"18,15 €","1,40","25,41 USD","30,49 USD","38,11 USD",,UNIDAD,1,,,1,"30,49 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,LATON,C,0000000120,"Filtro Y laton 1""",,,,"18,23 €","9,12 €","11,39 €",,,"13,06 €","1,40","18,28 USD","21,93 USD","27,42 USD",,UNIDAD,1,,,1,"21,93 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,ACCESORIOS,C,0000000121,"Valvula esfera 1-1/2""",,,,"36,20 €","18,10 €","22,63 €",,,"25,93 €","1,40",36 USD,44 USD,"54,44 USD",,,1,,,1,"43,56 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,ACCESORIOS,C,0000000122,"Valvula esfera 1""",,,,"15,15 €","7,58 €","9,47 €",,,"10,85 €","1,40",15 USD,18 USD,"22,79 USD",,,2,,,1,"36,46 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,LATON,C,0000000123,"Codo 90º laton D32 a 1"" RM",,,,"11,39 €","5,70 €","7,12 €",,,"8,16 €","1,40","11,42 USD","13,70 USD","17,13 USD",,UNIDAD,8,,,1,"109,63 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,LATON,C,0000000124,"Codo 90º laton D32 a 1"" RH",,,,"18,84 €","9,42 €","11,78 €",,,"13,49 €","1,40","18,89 USD","22,67 USD","28,33 USD",,UNIDAD,8,,,1,"181,34 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,ACCESORIOS,C,0000000125,"Manguito 30cm J.G. 15mm 1/2""",,,,"2,43 €","1,22 €","1,52 €",,,"1,74 €","1,40","2,44 USD","2,92 USD","3,65 USD",,UNIDAD,4,,,1,"11,69 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,ACCESORIOS,C,0000000126,"Manguito 30cm 1/2"" a 3/8""",,,,"2,66 €","1,33 €","1,66 €",,,"1,91 €","1,40","2,67 USD","3,20 USD","4,00 USD",,UNIDAD,3,,,1,"9,60 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,ACCESORIOS,C,0000000127,"Manguito 25cm 1/2"" a 3/8""",,,,"2,58 €","1,29 €","1,61 €",,,"1,85 €","1,40","2,59 USD","3,10 USD","3,88 USD",,UNIDAD,2,,,1,"6,21 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,ACCESORIOS,C,0000000128,"Manguito 25cm 3/8"" a 3/8""",,,,"2,14 €","1,07 €","1,34 €",,,"1,53 €","1,40","2,15 USD","2,57 USD","3,22 USD",,UNIDAD,2,,,1,"5,15 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,ACCESORIOS,C,0000000129,"Manguito 35cm 3/8"" a 1/4""",,,,"2,80 €","1,40 €","1,75 €",,,"2,01 €","1,40","2,81 USD","3,37 USD","4,21 USD",,UNIDAD,5,,,1,"16,84 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,OTROS,OTROS,OTROS,C,0000000130,Abrazadera pared doble D16-18,,,,1 €,"0,26 €",0 €,,,"0,37 €","1,40",1 USD,1 USD,"0,77 USD",,UNIDAD,50,,,1,31 USD,Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,PVC,C,0000000131,Te 45º Y PVC EVA D40,,,,"1,72 €","0,86 €","1,08 €",,,"1,23 €","1,40","1,72 USD","2,07 USD","2,59 USD",,UNIDAD,18,,,1,"37,25 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,PPR,C,0000000132,"Entronque recto PPR D25 a 3/4"" RM",,,,"11,83 €","5,92 €","7,39 €",,,"8,47 €","1,40","11,86 USD","14,23 USD","17,79 USD",,UNIDAD,3,,,1,"42,70 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,PPR,C,0000000134,Te PPR D25,,,,"1,22 €","0,61 €","0,76 €",,,"0,87 €","1,40","1,22 USD","1,47 USD","1,83 USD",,UNIDAD,3,,,1,"4,40 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,PPR,C,0000000136,"Codo 90º PPR D25 a 3/4"" RM",,,,"8,93 €","4,47 €","5,58 €",,,"6,40 €","1,40","8,95 USD","10,74 USD","13,43 USD",,UNIDAD,2,,,1,"21,49 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,PPR,C,0000000137,"Entronque recto PPR D20 a 3/4"" RH",,,,"5,12 €","2,56 €","3,20 €",,,"3,67 €","1,40","5,13 USD","6,16 USD","7,70 USD",,UNIDAD,1,,,1,"6,16 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,ACCESORIOS,C,0000000138,Junta brida DN50 D65,,,,6 €,"2,86 €",4 €,,,"4,09 €","1,40",6 USD,7 USD,"8,59 USD",,,6,,,1,41 USD,Tarifa S. ESCODA,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,ACCESORIOS,C,0000000139,Junta brida DN50 D50,,,,5 €,"2,54 €",3 €,,,"3,64 €","1,40",5 USD,6 USD,"7,64 USD",,,4,,,1,24 USD,Tarifa S. ESCODA,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,ACCESORIOS,C,0000000140,Junta brida DN50 D80,,,,7 €,"3,53 €",4 €,,,"5,06 €","1,40",7 USD,8 USD,"10,62 USD",,,1,,,1,8 USD,Tarifa S. ESCODA,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,ACCESORIOS,C,0000000141,Brida plana PVC PN16 DN65 D75,,,,,,3 €,,,"3,01 €","1,40",4 USD,5 USD,"6,33 USD",,,100,,,1,506 USD,FRA. 12.013.12,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,ACCESORIOS,C,0000000142,"Brida plana PVC DN50 2""",,,,,,2 €,,,"2,09 €","1,40",3 USD,4 USD,"4,38 USD",,,6,,,1,21 USD,FRA. 12.013.12,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,ACCESORIOS,C,0000000143,"Brida PVC 50 1-1/2""",,,,,,2 €,,,"2,09 €","1,40",3 USD,4 USD,"4,38 USD",,,139,,,1,487 USD,FRA. 12.013.12,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,ACCESORIOS,C,0000000144,Brida PVC D63,,,,,,2 €,,,"2,09 €","1,40",3 USD,4 USD,"4,38 USD",,,2,,,1,7 USD,FRA. 12.013.12,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,ACCESORIOS,C,0000000145,Brida PVC D50,,,,,,2 €,,,"2,09 €","1,40",3 USD,4 USD,"4,38 USD",,,1,,,1,4 USD,FRA. 12.013.12,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,ACCESORIOS,C,0000000146,Brida PVC D40,,,,,,2 €,,,"1,82 €","1,40",3 USD,3 USD,"3,83 USD",,,1,,,1,3 USD,FRA. 12.013.12,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,PVC,C,0000000147,Valvula esfera PVC D20,,,,"4,08 €","2,04 €","2,55 €",,,"2,92 €","1,40","4,09 USD","4,91 USD","6,14 USD",,UNIDAD,7,,,1,"34,36 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,PVC,C,0000000148,"Manguito PVC D20 a 1/2"" RH",,,,"0,96 €","0,48 €","0,60 €",,,"0,69 €","1,40","0,96 USD","1,16 USD","1,44 USD",,UNIDAD,20,,,1,"23,10 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,PVC,C,0000000149,"Derivacion PVC D75 a 1"" RH",,,,"4,54 €","2,27 €","2,84 €",,,"3,25 €","1,40","4,55 USD","5,46 USD","6,83 USD",,UNIDAD,19,,,1,"103,79 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,ETAPS,ACCESORIOS,C,0000000150,"Antiretorno 2"" DN50 PN16",,,,33 €,"16,58 €","20,73 €",,,"23,75 €","1,40",33 USD,40 USD,"49,87 USD",,UNIDAD,2,,,1,80 USD,Tarifa S. ESCODA,,,,,m3,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,ETAPS,ACCESORIOS,C,0000000151,Mezclador estatico DN80,,,,,,869 €,,,"995,49 €","1,40",1.394 USD,1.672 USD,"2.090,52 USD",,UNIDAD,1,,,1,1.672 USD,FRA. 11.059.11,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,ETAPS,FILTROS,C,0000000152,Cuadro control filtros lama,,,,,,,,,"0,00 €","1,40",0 USD,0 USD,"0,00 USD",,,2,,,1,0 USD,,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,CLIMATIZACION,ACCESORIOS,C,0000000153,Silent block,,,,9 €,"4,50 €",6 €,,,"6,45 €","1,40",9 USD,11 USD,"13,54 USD",,,40,,,1,433 USD,Tarifa SALTOKI,,,,,m3,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,LATON,C,0000000155,"Reduccion laton 1/2"" RH 1""RM",,,,"2,44 €","1,22 €","1,53 €",,,"1,75 €","1,40","2,45 USD","2,94 USD","3,67 USD",,UNIDAD,3,,,1,"8,81 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,LATON,C,0000000156,"Reduccion laton 1"" RH 1/2"" RM",,,,"2,10 €","1,05 €","1,31 €",,,"1,50 €","1,40","2,11 USD","2,53 USD","3,16 USD",,UNIDAD,1,,,1,"2,53 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,LATON,C,0000000157,"Reduccion laton 1"" RH 1""RM",,,,"2,79 €","1,40 €","1,74 €",,,"2,00 €","1,40","2,80 USD","3,36 USD","4,20 USD",,UNIDAD,1,,,1,"3,36 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,COBRE,C,0000000158,Codo 90º CU D22 H,,,,"2,43 €","1,22 €","1,52 €",,,"1,74 €","1,40","2,44 USD","2,92 USD","3,65 USD",,UNIDAD,66,,,1,"192,97 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,COBRE,C,0000000159,Codo 45º CU D22 H,,,,"3,15 €","1,58 €","1,97 €",,,"2,26 €","1,40","3,16 USD","3,79 USD","4,74 USD",,UNIDAD,56,,,1,212 USD,Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,ACCESORIOS,C,0000000160,Abrazadera isofonica D35,,,,"0,98 €","0,49 €","0,61 €",,,"0,70 €","1,40","0,98 USD","1,18 USD","1,47 USD",,UNIDAD,200,,,1,236 USD,Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,ACCESORIOS,C,0000000161,Tornillo Abrazadera M8,,,,"0,08 €","0,04 €","0,05 €",,,"0,06 €","1,40","0,08 USD","0,10 USD","0,12 USD",,UNIDAD,225,,,1,"21,66 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,PE,C,0000000162,Manguito PE D32,,,,"3,91 €","1,96 €","2,44 €",,,"2,80 €","1,40","3,92 USD","4,70 USD","5,88 USD",,UNIDAD,18,,,1,"84,68 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,PE,C,0000000163,"Entronque PE D32 1""RM",,,,"2,75 €","1,38 €","1,72 €",,,"1,97 €","1,40","2,76 USD","3,31 USD","4,14 USD",,UNIDAD,22,,,1,"72,79 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,PE,C,0000000164,Codo 90º PE D32,,,,"3,91 €","1,96 €","2,44 €",,,"2,80 €","1,40","3,92 USD","4,70 USD","5,88 USD",,UNIDAD,8,,,1,"37,64 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,PVC,C,0000000165,"Reduccion PVC 1""RH 1-1/2""RM",,,,"2,25 €","1,13 €","1,41 €",,,"1,61 €","1,40","2,26 USD","2,71 USD","3,38 USD",,UNIDAD,4,,,1,"10,83 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,PVC,C,0000000166,"Entronque recto PVC D63 2""RM",,,,"3,57 €","1,79 €","2,23 €",,,"2,56 €","1,40","3,58 USD","4,30 USD","5,37 USD",,UNIDAD,27,,,1,"115,97 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,PVC,C,0000000167,Te PVC PN16 D63,,,,"3,60 €","1,80 €","2,25 €",,,"2,58 €","1,40","3,61 USD","4,33 USD","5,41 USD",,UNIDAD,13,,,1,"56,31 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,ELECTROSOLDABLE,C,0000000168,Codo 90 º ES D50,,,,"14,54 €","7,27 €","9,09 €",,,"10,41 €","1,40","14,58 USD","17,49 USD","21,87 USD",,UNIDAD,11,,,1,"192,44 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,ELECTROSOLDABLE,C,0000000169,Codo 45º ES D50,,,,"17,92 €","8,96 €","11,20 €",,,"12,83 €","1,40","17,97 USD","21,56 USD","26,95 USD",,UNIDAD,45,,,1,970 USD,Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,ELECTROSOLDABLE,C,0000000170,Codo 45º ES D32,,,,"11,46 €","5,73 €","7,16 €",,,"8,21 €","1,40","11,49 USD","13,79 USD","17,24 USD",,UNIDAD,42,,,1,579 USD,Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,PE,C,0000000171,"Entronque PE D50 1-1/2""RH",,,,"5,47 €","2,74 €","3,42 €",,,"3,92 €","1,40","5,48 USD","6,58 USD","8,23 USD",,UNIDAD,3,,,1,"19,74 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,COBRE,C,0000000172,Manguito CU D35,,,,"4,87 €","2,44 €","3,04 €",,,"3,49 €","1,40","4,88 USD","5,86 USD","7,32 USD",,UNIDAD,23,,,1,"134,77 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,COBRE,C,0000000173,Manguito CU D22,,,,"1,47 €","0,74 €","0,92 €",,,"1,05 €","1,40","1,47 USD","1,77 USD","2,21 USD",,UNIDAD,56,,,1,"99,05 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,COBRE,C,0000000174,Te CU D22,,,,"5,20 €","2,60 €","3,25 €",,,"3,72 €","1,40","5,21 USD","6,26 USD","7,82 USD",,UNIDAD,29,,,1,"181,44 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,COBRE,C,0000000175,Te CU D28-D22-D22,,,,"18,70 €","9,35 €","11,69 €",,,"13,39 €","1,40","18,75 USD","22,50 USD","28,12 USD",,UNIDAD,17,,,1,382 USD,Tarifa SALTOKI,,,,,,,,,,
